date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:47	144506/144506	---M--	200	added ('OK')	image/jpeg	etag:%227ce0452-2347a-57999c0ba9d44%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/products/img08.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/products/img08.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:48	143017/143017	---M--	200	added ('OK')	image/jpeg	etag:%227ce02ec-22ea9-579998c91b6ea%22	http://htmlmystore.justthemevalley.com/newlook/version4/images/menu-img1.jpg	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/images/menu-img1.jpg	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:48	98499/98499	---M-Z	200	added ('OK')	text/html	etag:%227cc1e60-180c3-579993b8fa0fc-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid_right_sidebar.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/shop_grid_right_sidebar.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:49	77180/77180	---M-Z	200	added ('OK')	text/html	etag:%227cc1e61-12d7c-579993b964438-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/shop_list.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/shop_list.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:49	77069/77069	---M-Z	200	added ('OK')	text/html	etag:%227cc1e62-12d0d-579993b9b2252-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/shop_list_right_sidebar.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/shop_list_right_sidebar.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:50	81493/81493	---M-Z	200	added ('OK')	text/html	etag:%227cc1e5f-13e55-579993b86f637-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid_full_width.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/shop_grid_full_width.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:50	88755/88755	---M-Z	200	added ('OK')	text/html	etag:%227cc1e69-15ab3-579993bc19df7-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/single_product_right_sidebar.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/single_product_right_sidebar.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:51	45501/45501	---M-Z	200	added ('OK')	text/html	etag:%227cc1e57-b1bd-579993b55669d-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/compare.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/compare.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:51	158556/158556	---M-Z	200	added ('OK')	text/html	etag:%227cc1e5c-26b5c-579993b769aaf-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/quick_view.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/quick_view.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
12:17:52	82772/82772	---M-Z	200	added ('OK')	text/html	etag:%227cc1e67-14354-579993bbf86ce-gzip%22	http://htmlmystore.justthemevalley.com/newlook/version4/single_product_magnify_zoom.html	C:/My%20Web%20Sites/ecomm_web2/htmlmystore.justthemevalley.com/newlook/version4/single_product_magnify_zoom.html	(from http://htmlmystore.justthemevalley.com/newlook/version4/shop_grid.html)
